"sport","ridere","maschio","inter_ai","fantascienza","idoli","new_engmath","new_computer","new_tech","new_lc","education","body_type","drinks","smokes","age","diet","drugs","height","income","last_online","offspring","orientation","pets","religion","sign","status","where_town","religion_modifer","sign_modifer","asian","black","hispanic_latin","indian","middle_eastern","native_american","other","pacific_islander","white","essay_length","art","being","care","company","data","eyes","family","friend","girl","hair","heart","honest","im","internet","lab","law","listening","love","mechanical","name","nerd","old","relationship","school","science","scientist","silicon","smile","student","teacher","tech","therapist","true","web","wine","writing","Class"
0,0,0,4.5020964360587,0,0,0,0,0,0,"working_on_college_university","curvy","socially","no",25,0.181150021616948,0.185388844491007,63,0.180083857442348,1,0.196591243020864,"straight",0.18539976825029,0.120482052244875,0.150246384861121,"single",0.138890100274992,0.180527387368383,0.227089311475901,0,0,0,0,0,0,0,0,0,2.63748972951251,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"other"
1,0,1,3.77780229492631,1,0,0,0,0,0,"graduated_from_ph_d_program","fit","rarely","no",34,0.184912080310788,0.185388844491007,72,0.111111832203715,1,0.179122186687798,"straight",0.210927536940868,0.147512924506133,0.164319291504011,"single",0.115983120957396,0.19193427226716,0.135135157593572,0,0,0,0,0,0,0,0,1,3.72205777133146,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,"other"
1,1,0,5.76268343815514,0,0,0,0,0,0,"graduated_from_masters_program","average","often","no",32,0.184912080310788,0.190789473684211,67,0.180083857442348,1,0.186567154061806,"straight",0.18539976825029,0.163585434173669,0.184684679764235,"single",0.115983120957396,0.176212938005391,0.135135157593572,0,1,0,0,0,0,0,0,0,3.3392526340327,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"other"
1,1,1,9.0041928721174,0,0,0,0,0,0,"graduated_from_masters_program","average","often","no",50,0.184912080310788,0.185388844491007,64,0.180083857442348,1,0.215753310776333,"straight",0.185785534111263,0.116959140983461,0.267741935483871,"single",0.196789722539415,0.176212938005391,0.197122302158273,0,0,0,0,0,0,0,0,1,3.62034429975449,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"other"
0,1,0,0.663472865471585,0,0,0,0,0,0,"graduated_from_high_school","fit","socially","no",23,0.184912080310788,0.159178463827389,70,0.0288466463248515,0,0.196591243020864,"gay",0.185785534111263,0.116959140983461,0.156387722714267,"single",0.196789722539415,0.19193427226716,0.135135157593572,1,0,1,0,0,0,0,1,1,3.14891099310936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"other"
0,0,0,4.68218029350105,0,0,2,0,0,0,"graduated_from_college_university","fit","socially","no",26,0.230215741518451,0.190789473684211,67,0.180083857442348,1,0.179122186687798,"straight",0.116161783682364,0.163585434173669,0.267741935483871,"single",0.115983120957396,0.176212938005391,0.197122302158273,0,1,0,0,0,0,0,0,0,3.33223641549144,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"other"
0,1,0,6.84318658280922,0,0,0,0,0,0,"graduated_from_college_university","average","often","no",38,0.184912080310788,0.190789473684211,71,0.180083857442348,1,0.196591243020864,"straight",0.18539976825029,0.163585434173669,0.144927626986408,"single",0.196789722539415,0.176212938005391,0.197122302158273,0,0,0,0,0,0,0,0,0,3.54082981411108,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,"other"
0,0,0,5.40251572327044,0,0,0,0,0,0,"graduated_from_college_university","fit","socially","no",30,0.184912080310788,0.190789473684211,65,0.180083857442348,1,0.196591243020864,"straight",0.185785534111263,0.338047870512206,0.156387722714267,"single",0.115983120957396,0.176212938005391,0.135135157593572,1,0,0,0,0,0,0,0,1,3.45392959205773,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"other"
0,1,0,5.58259958071279,0,0,0,0,1,0,"graduated_from_college_university","fit","rarely","no",31,0.184912080310788,0.185388844491007,70,0.180083857442348,0,0.196591243020864,"straight",0.174897134985319,0.176470942885713,0.150984751674504,"single",0.176470659168716,0.19193427226716,0.197122302158273,0,0,0,0,0,0,1,0,0,3.09586645347854,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"stem"
0,1,0,6.66310272536688,0,0,0,0,0,0,"graduated_from_masters_program","fit","socially","no",37,0.181150021616948,0.185388844491007,63,0.180083857442348,1,0.179122186687798,"straight",0.185785534111263,0.163585434173669,0.267741935483871,"single",0.196789722539415,0.176212938005391,0.197122302158273,0,0,0,0,0,0,0,0,1,3.04727486738418,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"other"
